Comment,Designator,Footprint,LCSC
"0.1uF 16v","C10","Capacitors_SMD:C_0805",""
"1nF","C11","Capacitors_SMD:C_0805",""
"0.1uF 250v","C3,C12,C13","Capacitors_SMD:C_0805",""
"47uF 16v","C14","Capacitors_SMD:C_1206",""
"560pF 250v","C15","Capacitors_SMD:C_0603",""
"0.1uF","C18","Capacitors_SMD:C_0805",""
"1uF 250v","C1,C2","Capacitors_SMD:C_2220_HandSoldering",""
"220pF","C5","Capacitors_SMD:C_0805",""
"100pF 250v","C6","Capacitors_SMD:C_0805",""
"430pF","C7","Capacitors_SMD:C_0805",""
"100uF 16v","C4,C8,C16","Capacitors_SMD:C_1210",""
"ES1D","D1","Diodes_SMD:D_SMA_Handsoldering",""
"BAT54","D2","Diodes_SMD:D_SOD-323_HandSoldering",""
"Screw_Terminal_01x04","J1","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-3.5mm_4pol",""
"CONN_01X01","J2,J3","Mounting_Holes:MountingHole_2.2mm_M2_Pad",""
"CONN_01X01","J4,J5","Mounting_Holes:MountingHole_2.2mm_M2",""
"33uH","L3","NixieSupply5vto160vDCMBoost_socket:Choke_SMD_12x12mm_Wurth_WE-PD",""
"60ohm 100Mhz","L2,L5","Resistors_SMD:R_0805",""
"USB_OTG","P1","NixieSupply5vto160vDCMBoost_socket:USB_Micro-B_Wurth_3A_Non-OVAL-Drill",""
"FDS2672CT","Q1","etaclock:SOIC-8-N",""
"MMBT42","Q26","TO_SOT_Packages_SMD:SOT-23",""
"0.1 1/2W","R10","Resistors_SMD:R_0805",""
"4.12k","R12","Resistors_SMD:R_0805",""
"634k","R15","Resistors_SMD:R_0805",""
"7.68k","R16","Resistors_SMD:R_0805",""
"60.4k","R2","Resistors_SMD:R_0805",""
"N.U.","R3","Resistors_SMD:R_0805",""
"0 Ohm","R5,R6","Resistors_SMD:R_0805",""
"2k","R7","Resistors_SMD:R_0805",""
"1k","R1,R8","Resistors_SMD:R_0805",""
"100k","R4,R9","Resistors_SMD:R_0805",""
"SW_B","TP12","Connect:PINTST",""
"+160v","TP14","Connect:PINTST",""
"UCC3803","U1","NixieSupply5vto160vDCMBoost_socket:SOIC-8-N",""
