Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","1uF 250v","C_1812_HandSoldering",33.324800,-30.962600,0.000000,top
"C2","1uF 250v","C_1812_HandSoldering",33.578800,-26.390600,0.000000,top
"C3","0.1uF 250v","C_0805",36.182300,-21.869400,270.000000,top
"C5","220pF","C_0805",11.988800,-15.214600,0.000000,top
"C6","100pF 250v","C_0805",31.038800,-21.818600,90.000000,top
"C7","430pF","C_0805",9.194800,-18.262600,90.000000,top
"C9","100uF 16v","C_1210",4.876800,-30.708600,90.000000,top
"C10","0.1uF 16v","C_0805",19.964400,-17.043400,0.000000,top
"C11","1nF","C_0805",23.926800,-17.881600,0.000000,top
"C12","0.1uF 250v","C_0805",31.292800,-34.264600,0.000000,top
"C14","47uF 16v","C_1210",12.258040,-11.897360,90.000000,top
"C15","560pF 250v","C_0603",27.482800,-27.152600,90.000000,top
"C16","100uF 16v","C_1210",1.818640,-26.878280,90.000000,top
"C18","0.1uF","C_0805",4.610100,-26.377900,90.000000,top
"D1","ES1D","D_SMA",25.006300,-33.820100,180.000000,top
"D2","BAT54","D_SOD-323_HandSoldering",12.415520,-17.256760,0.000000,top
"L2","60ohm 100Mhz","R_0805",1.310640,-31.328360,90.000000,top
"L3","33uH","Choke_SMD_12x12mm_Wurth_WE-PD",13.512800,-31.089600,180.000000,top
"L5","60ohm 100Mhz","R_0805",33.362900,-21.856700,270.000000,top
"P1","USB_OTG","USB_Micro-B_Wurth_3A_Non-OVAL-Drill",4.368800,-19.532600,270.000000,top
"Q1","FDS2672CT","SOIC-8-N",23.926800,-26.390600,180.000000,top
"Q26","MMBTA42","SOT-23",8.884920,-12.148820,270.000000,top
"R1","1k","R_0805",15.928340,-10.195560,0.000000,top
"R2","60.4k","R_0805",11.226800,-19.786600,270.000000,top
"R3","N.U.","R_0805",16.421100,-17.424400,180.000000,top
"R4","100k","R_0805",6.050280,-12.578080,270.000000,top
"R5","0 Ohm","R_0805",15.460980,-15.344140,180.000000,top
"R7","2k","R_0805",16.870680,-12.791440,90.000000,top
"R8","1k","R_0805",23.050500,-20.396200,90.000000,top
"R9","100k","R_0805",14.798040,-12.760960,270.000000,top
"R10","0.1 1/2W","R_0805",25.184100,-20.523200,90.000000,top
"R12","4.12k","R_0805",9.448800,-22.072600,90.000000,top
"R15","634k","R_0805",28.752800,-21.818600,90.000000,top
"R16","7.68k","R_0805",30.022800,-19.024600,0.000000,top
"U1","UCC3803","SOIC-8-N",16.560800,-21.564600,270.000000,top
